epoch,train_loss,val_loss,val_macro_auc,val_macro_f1
1,0.9490090481002761,0.8963221421423196,0.6016503824185987,0.14976415475080615
2,0.928729334920189,0.888383149179352,0.5962037279064207,0.1907178313370706
3,0.9158615979093538,0.877653322732973,0.6134518773097314,0.21246108427267849
4,0.9095916593718845,0.8785423529417421,0.6066156400459113,0.20721764826631892
5,0.904768971735792,0.8702883389418531,0.6265213245128617,0.21422767720959368
6,0.8988225426027413,0.8944655755328792,0.5759054690515389,0.19809761609550625
7,0.9004918166742898,0.905016554805243,0.5814497856120218,0.17621088695439643
8,0.8970085430461211,0.8838723010597275,0.6134606681580225,0.18353073677914442
9,0.888192521444276,0.8734452390642427,0.615938947466871,0.19696987632277557
10,0.8888555684950009,0.878470192553739,0.6326863789028068,0.1698842586462931
11,0.8901818463318696,0.8624620054196234,0.6359453579328838,0.21008480862715145
12,0.8814375845299584,0.8576724186947173,0.6479511339770013,0.21348152430200434
13,0.8797769911063191,0.8535744051374805,0.6525686079436572,0.22426276123355668
14,0.883442498553662,0.8579346454667989,0.6451395434406013,0.2243446081684553
15,0.8782434064313906,0.8483127208158604,0.6503305726194022,0.23312329852046804
16,0.8710969845696934,0.8583787911783075,0.6357105575964518,0.21618433008820417
17,0.8760451800232634,0.8409099219528589,0.6672202150218901,0.2427925565745471
18,0.8707510999704842,0.8689936098956041,0.6235893491694398,0.2068989150786341
19,0.8718129459628028,0.8504048069932373,0.6561242055284751,0.2316609655014965
20,0.8653173659312008,0.8568126400500784,0.6683810718822031,0.2114967506567488
21,0.8683294645993839,0.8528685288395241,0.6532114538299998,0.23878661698483666
22,0.8727855560854912,0.8591572074629322,0.6523850700095462,0.21461066019490976
23,0.8615230694944827,0.8400428638163419,0.6643179632027278,0.23363897932389993
24,0.8592052982852364,0.8452823643310174,0.6538282086010938,0.2151957983447149
25,0.8652558174215933,0.8896594305526062,0.6732886576496815,0.22467317661362407
26,0.858843953116103,0.8343049787454457,0.6742358197489782,0.23785463782240673
27,0.8601340074301009,0.8247062585866975,0.6795890680166977,0.24237312914620524
28,0.8468800223566341,0.8313594783670696,0.6781338591024726,0.22830736907061996
29,0.8541567413692688,0.835352561349109,0.6750555447818256,0.2276462891073802
30,0.8489398484200877,0.8399057558402153,0.6632986308030094,0.23060673183566652
