epoch,train_loss,val_loss,val_macro_auc,val_macro_f1
1,0.9235932473378079,0.8094960669770961,0.7107347208389581,0.2454175343484839
2,0.8289551416546805,0.8095942648851914,0.70686498085413,0.2770027407558142
3,0.7942696321265778,0.7852964921811247,0.7198619800063157,0.300781539564887
4,0.7605140729295612,0.7841889638892252,0.7208864944200503,0.29952528035450515
5,0.7161501381739929,0.7907659528371696,0.7118566123080999,0.29826473358696304
6,0.665642970654578,0.8087764916748836,0.7162576783759953,0.30872159099909474
7,0.6353952346348738,0.7886337552498693,0.7186143501087568,0.3027209444422807
8,0.6032364492994808,0.8326161102824773,0.7350194842797816,0.30794158296012164
9,0.5582808222731805,0.8932164959193126,0.6979069706385012,0.28368246034882416
10,0.5183586106995438,0.8906931411497091,0.7280201492091251,0.3250765886967703
11,0.4815655175699006,0.929812465213,0.7227404856443768,0.3290119352348852
12,0.4514518505936369,1.017771445560257,0.72668403836379,0.32180609218394673
13,0.4296709328555672,1.054860368937998,0.730339483236857,0.31980264156059973
