epoch,train_loss,val_loss,val_macro_auc,val_macro_f1
1,0.9392893220792609,0.866545575127165,0.6473199779132195,0.24438018345051585
2,0.8747308968768572,0.8201790837909889,0.6993689580921763,0.26234554344694694
3,0.8458618810903528,0.798987598857188,0.7355050344200013,0.29039509394576424
4,0.8202063596212171,0.7923079702148256,0.7367393128501857,0.27733826084900554
5,0.7949037944383456,0.802587543210008,0.7444649742460285,0.2857960366932915
6,0.7797415775382677,0.7812924196192824,0.7485508081166401,0.2862832010957518
7,0.7620199550547002,0.7661186837271192,0.7384888724114829,0.2883183256549863
8,0.7398239716234314,0.7627946443846904,0.7416195562271044,0.29925006611499916
9,0.7358643649550388,0.7632558191644734,0.7445793382680875,0.3027765479089821
10,0.7153012041651875,0.7654834553404455,0.7373069369817934,0.28421791389164214
11,0.7098277237315669,0.7508592658037238,0.7517097919904021,0.29533740127830777
12,0.6891640894395982,0.7611664671464142,0.7468340651726878,0.31049770107379027
13,0.6667818966626392,0.7694863783335147,0.7354308329566839,0.3004562893704589
14,0.6692289877132295,0.7599874264632621,0.7411483828947056,0.307657252482725
15,0.6562154628146557,0.7602999084557137,0.7456426775866125,0.3044601267821777
16,0.6472675279618282,0.762928424210384,0.7503038678819083,0.3045577116572183
